display_name,first_name,last_name,birth_date,college_name,position,jersey_number,height,weight,team_abbr,draft_club,headshot,draftround
Paul Evansen,Paul,Evansen,5/10/1922,Oregon St.,G,,3-Jun,240,,,,
Eric Everett,Eric,Everett,7/13/1966,Texas Tech,DB,,10-May,165,,Philadelphia Eagles,,5th
Jim Everett,Jim,Everett,1/3/1963,Purdue,QB,,5-Jun,212,,Houston Oilers,,1st
Kevin Everett,Kevin,Everett,2/5/1982,Miami (FL),TE,,5-Jun,241,,Buffalo Bills,,3rd
Major Everett,Major,Everett,1/4/1960,Mississippi Col.,RB,,10-May,215,,,,
Thomas Everett,Thomas,Everett,11/21/1964,Baylor,DB,,9-May,190,,Pittsburgh Steelers,,4th
Tyler Everett,Tyler,Everett,11/4/1983,Ohio St.,DB,,11-May,202,,,,
Steve Everitt,Steve,Everitt,8/21/1970,Michigan,C-G,,5-Jun,300,,Cleveland Browns,,1st
William Evers,William,Evers,9/24/1968,Florida A&M,DB,,10-May,175,,,,
Dick Evey,Dick,Evey,2/12/1941,Tennessee,DT-DE-G,,4-Jun,245,,Buffalo Bills,,2nd
Bradie Ewing,Bradie,Ewing,12/26/1989,Wisconsin,FB,,Jun-00,239,,Atlanta Falcons,,5th
Nick Eyre,Nick,Eyre,6/16/1959,BYU,T,,5-Jun,276,,Houston Oilers,,4th
Liam Ezekiel,Liam,Ezekiel,10/30/1982,Northeastern,LB,,Jun-00,249,,,,
Vilnis Ezerins,Vilnis,Ezerins,4/22/1944,Wisc-Whitewater,RB,,2-Jun,217,,Los Angeles Rams,,8th
Blake Ezor,Blake,Ezor,10/11/1966,Michigan St.,RB,,9-May,181,,,,
Nuu Faaola,Nuu,Faaola,1/15/1964,Hawaii,RB,,11-May,215,,New York Jets,,9th
Jason Fabini,Jason,Fabini,8/25/1974,Cincinnati,T,,7-Jun,304,,New York Jets,,4th
Rob Fada,Rob,Fada,5/7/1961,Pittsburgh,G,,2-Jun,265,,Chicago Bears,,9th
Julian Fagan,Julian,Fagan,2/21/1948,Mississippi,P,,3-Jun,205,,Houston Oilers,,17th
Kevin Fagan,Kevin,Fagan,4/25/1963,Miami (FL),DE,,3-Jun,260,,San Francisco 49ers,,4th
Demarcus Faggins,Demarcus,Faggins,6/13/1979,Kansas St.,DB,,10-May,178,,Houston Texans,,6th
Carl Fagiolo,Carl,Fagiolo,4/26/1917,none,G,,Jun-00,200,,,,
John Fahay,John,Fahay,6/16/1902,St. Thomas,E-B-G,,Jun-00,189,,,,
Jim Fahnhorst,Jim,Fahnhorst,11/8/1958,Minnesota,LB,,4-Jun,230,,Minnesota Vikings,,4th
Keith Fahnhorst,Keith,Fahnhorst,2/6/1952,Minnesota,T,,6-Jun,273,,San Francisco 49ers,,2nd
Fred Failing,Fred,Failing,6/7/1904,Central Michigan,G,,11-May,200,,,,
Richard Fain,Richard,Fain,2/29/1968,Florida,DB,,10-May,183,,Cincinnati Bengals,,6th
Jeff Faine,Jeff,Faine,4/6/1981,Notre Dame,C,,3-Jun,303,,Cleveland Browns,,1st
Carl Fair,Carl,Fair,6/8/1979,Ala-Birmingham,RB,,1-Jun,219,,,,
Terry Fair,Terry,Fair,7/20/1976,Tennessee,DB,,9-May,185,,Detroit Lions,,1st
Bill Fairband,Bill,Fairband,6/11/1941,Colorado,LB,,3-Jun,228,,Oakland Raiders,,3rd
Don Fairbanks,Don,Fairbanks,2/13/1964,Colorado,DE,,3-Jun,253,,Seattle Seahawks,,10th
Greg Fairchild,Greg,Fairchild,3/10/1954,Tulsa,G-T-C,,4-Jun,258,,Cincinnati Bengals,,4th
Paul Fairchild,Paul,Fairchild,9/14/1961,Kansas,G-C,,4-Jun,270,,New England Patriots,,5th
Art Faircloth,Art,Faircloth,7/8/1921,North Carolina St.,B,,Jun-00,190,,Boston Yanks,,19th
Leonard Fairley,Leonard,Fairley,1/2/1951,Alcorn St.,DB,,11-May,200,,Houston Oilers,,7th
Nick Fairley,Nick,Fairley,1/23/1988,Auburn,DT,,4-Jun,291,,Detroit Lions,,1st
Eric Fairs,Eric,Fairs,2/17/1964,Memphis,LB,,3-Jun,240,,,,
Derrick Faison,Derrick,Faison,8/24/1967,Howard,WR,,4-Jun,200,,,,
Earl Faison,Earl,Faison,1/31/1939,Indiana,DE,,5-Jun,270,,San Diego Chargers,,1st
Nello Falaschi,Nello,Falaschi,3/19/1913,Santa Clara,BB,,Jun-00,195,,Washington Redskins,,2nd
Dick Falcon,Dick,Falcon,1896-04-26,none,G,,9-May,175,,,,
Guil Falcon,Guil,Falcon,1892-12-15,none,FB,,10-May,220,,,,
Terry Falcon,Terry,Falcon,8/30/1955,Minot St.,G-T,,3-Jun,260,,New England Patriots,,8th
Tony Falkenstein,Tony,Falkenstein,2/16/1915,St. Mary's (CA),FB-BB,,10-May,205,,Green Bay Packers,,12th
Mickey Fallon,Mickey,Fallon,1898-04-15,Muhlenberg,G-E,,9-May,175,,,,
Mike Falls,Mike,Falls,3/3/1934,Minnesota,G,,2-Jun,240,,New York Giants,,20th
Gary Famiglietti,Gary,Famiglietti,11/28/1913,Boston Univ.,FB-HB,,Jun-00,225,,Chicago Bears,,3rd
Paul Fanaika,Paul,Fanaika,4/9/1986,Arizona St.,G,,5-Jun,327,,Philadelphia Eagles,,7th
Alan Faneca,Alan,Faneca,12/7/1976,LSU,G-T,,5-Jun,312,,Pittsburgh Steelers,,1st
Jonathan Fanene,Jonathan,Fanene,3/19/1982,Utah,DE,,3-Jun,290,,Cincinnati Bengals,,7th
Hebron Fangupo,Hebron,Fangupo,7/19/1985,BYU,DT,,1-Jun,324,,,,
Chad Fann,Chad,Fann,6/7/1970,Mississippi,TE,,3-Jun,252,,,,
Mario Fannin,Mario,Fannin,12/4/1987,,RB,,11-May,224,,,,
Mike Fanning,Mike,Fanning,2/2/1953,Notre Dame,DT-DE-NT,,6-Jun,255,,Los Angeles Rams,,1st
Stan Fanning,Stan,Fanning,11/22/1937,Idaho,T-DE-DT,,7-Jun,270,,Chicago Bears,,11th
Ken Fantetti,Ken,Fantetti,4/7/1957,Wyoming,LB,,2-Jun,230,,Detroit Lions,,2nd
Ledio Fanucchi,Ledio,Fanucchi,3/27/1931,Fresno St.,T-DT,,2-Jun,225,,Chicago Cardinals,,22nd
Mike Fanucci,Mike,Fanucci,9/25/1949,Arizona St.,DE,,4-Jun,235,,Washington Redskins,,9th
Chris Farasopoulos,Chris,Farasopoulos,7/20/1949,BYU,DB,,Jun-00,210,,New York Jets,,3rd
Hap Farber,Hap,Farber,7/1/1948,Mississippi,LB,,1-Jun,220,,Minnesota Vikings,,7th
Justin Fargas,Justin,Fargas,1/25/1980,Michigan,FB,,1-Jun,220,,Oakland Raiders,,3rd
Nick Farina,Nick,Farina,2/21/1905,Villanova,C,,8-May,180,,,,
Andy Farkas,Andy,Farkas,5/2/1916,Detroit Mercy,FB-HB-WB,,10-May,189,,Washington Redskins,,1st
Dale Farley,Dale,Farley,9/27/1949,West Virginia,LB,,3-Jun,225,,Miami Dolphins,,3rd
Dick Farley,Dick,Farley,5/30/1946,Boston Univ.,DB,,11-May,185,,San Diego Chargers,,16th
John Farley,John,Farley,8/11/1961,Sacramento St.,RB,,10-May,202,,Cincinnati Bengals,,4th
Dick Farman,Dick,Farman,7/26/1916,Washington St.,G,,Jun-00,219,,Washington Redskins,,16th
Danny Farmer,Danny,Farmer,5/21/1977,UCLA,WR,,3-Jun,217,,Pittsburgh Steelers,,4th
Dave Farmer,Dave,Farmer,5/20/1954,USC,RB,,Jun-00,205,,Atlanta Falcons,,11th
George Farmer,George,Farmer,4/19/1948,UCLA,WR,,4-Jun,214,,Chicago Bears,,3rd
George Farmer,George,Farmer,12/5/1958,Southern,WR,,10-May,175,,Los Angeles Rams,,9th
Karl Farmer,Karl,Farmer,8/28/1954,Pittsburgh,WR,,11-May,165,,Atlanta Falcons,,7th
Lonnie Farmer,Lonnie,Farmer,3/28/1940,Northwestern,LB,,Jun-00,220,,Boston Patriots,,20th
Ray Farmer,Ray,Farmer,7/1/1974,Duke,LB,,3-Jun,225,,Philadelphia Eagles,,4th
Robert Farmer,Robert,Farmer,3/4/1974,Notre Dame,RB,,11-May,217,,,,
Roger Farmer,Roger,Farmer,11/10/1955,Baker,WR,,3-Jun,195,,,,
Ted Farmer,Ted,Farmer,9/8/1953,Oregon,RB,,11-May,175,,,,
Tom Farmer,Tom,Farmer,4/17/1921,Iowa,HB,,11-May,190,,Cleveland Rams,,2nd
John Farquhar,John,Farquhar,3/22/1972,Duke,TE,,6-Jun,278,,,,
D'Marco Farr,D'Marco,Farr,6/9/1971,Washington,DT,,1-Jun,276,,,,
Mel Farr,Mel,Farr,11/3/1944,UCLA,RB,,2-Jun,210,,Detroit Lions,,1st
Mel Farr,Mel,Farr,8/12/1966,UCLA,RB,,Jun-00,222,,Denver Broncos,,9th
Mike Farr,Mike,Farr,8/8/1967,UCLA,WR,,10-May,192,,,,
Miller Farr,Miller,Farr,4/8/1943,Wichita St.,DB,,1-Jun,190,,,,
Ken Farragut,Ken,Farragut,12/23/1928,Mississippi,C-LB,,4-Jun,240,,Philadelphia Eagles,,6th
Venice Farrar,Venice,Farrar,12/22/1910,North Carolina St.,G-BB,,10-May,200,,,,
Scrapper Farrell,Scrapper,Farrell,7/12/1915,Muhlenberg,FB,,9-May,204,,,,
Sean Farrell,Sean,Farrell,5/25/1960,Penn St.,G-T,,3-Jun,260,,Tampa Bay Buccaneers,,1st
Paul Farren,Paul,Farren,12/24/1960,Boston Univ.,T-G,,5-Jun,272,,Cleveland Browns,,12th
Curt Farrier,Curt,Farrier,6/25/1941,Montana St.,DT,,6-Jun,264,,Kansas City Chiefs,,10th
Bo Farrington,Bo,Farrington,1/18/1936,Prairie View,SE-WR,,3-Jun,217,,Chicago Bears,,16th
James Farrior,James,Farrior,1/6/1975,Virginia,LB,,2-Jun,242,,New York Jets,,1st
Jimmy Farris,Jimmy,Farris,4/13/1978,Montana,WR,,Jun-00,200,,,,
John Farris,John,Farris,11/2/1943,San Diego St.,G,,4-Jun,245,,San Diego Chargers,,17th
Kris Farris,Kris,Farris,3/26/1977,UCLA,T,,8-Jun,318,,Pittsburgh Steelers,,3rd
Tom Farris,Tom,Farris,9/16/1920,Wisconsin,QB,,1-Jun,185,,Green Bay Packers,,11th
Heath Farwell,Heath,Farwell,12/31/1981,San Diego St.,LB,,Jun-00,235,,,,
Brett Faryniarz,Brett,Faryniarz,7/23/1965,San Diego St.,LB,,3-Jun,230,,,,
Randy Fasani,Randy,Fasani,9/18/1978,Stanford,QB,,3-Jun,234,,Carolina Panthers,,5th
Anthony Fasano,Anthony,Fasano,4/20/1984,Notre Dame,TE,,4-Jun,255,,Dallas Cowboys,,2nd
Ciatrick Fason,Ciatrick,Fason,10/29/1982,Florida,RB,,1-Jun,207,,Minnesota Vikings,,4th
Greg Fassitt,Greg,Fassitt,4/4/1985,Grambling St.,DB,,11-May,186,,,,
Mario Fatafehi,Mario,Fatafehi,1/27/1979,Kansas St.,DT,,2-Jun,300,,Arizona Cardinals,,5th
Chuck Faucette,Chuck,Faucette,10/7/1963,Maryland,LB,,3-Jun,242,,New York Giants,,10th
Chris Faulk,Chris,Faulk,1/21/1990,LSU,OT,,5-Jun,331,,,,
Kevin Faulk,Kevin,Faulk,6/5/1976,LSU,RB,,8-May,202,,New England Patriots,,2nd
Marshall Faulk,Marshall,Faulk,2/26/1973,San Diego St.,RB,,10-May,211,,Indianapolis Colts,,1st
Trev Faulk,Trev,Faulk,8/6/1981,LSU,LB,,3-Jun,254,,,,
Chris Faulkner,Chris,Faulkner,4/13/1960,Florida,TE,,4-Jun,255,,Dallas Cowboys,,4th
Jeff Faulkner,Jeff,Faulkner,4/4/1964,Southern,DE-DT,,4-Jun,305,,,,
Staley Faulkner,Staley,Faulkner,4/2/1941,Texas,T,,3-Jun,245,,Houston Oilers,,21st
Ta'ase Faumui,Ta'ase,Faumui,3/19/1971,Hawaii,DE,,3-Jun,278,,Pittsburgh Steelers,,4th
Wilson Faumuina,Wilson,Faumuina,8/11/1954,San Jose St.,DT-DE-NT,,5-Jun,275,,Atlanta Falcons,,1st
Christian Fauria,Christian,Fauria,9/22/1971,Colorado,TE,,4-Jun,250,,Seattle Seahawks,,2nd
Joseph Fauria,Joseph,Fauria,1/16/1990,UCLA,TE,,7-Jun,259,,,,
Ron Faurot,Ron,Faurot,1/27/1962,Arkansas,DE-DT,,7-Jun,262,,New York Jets,,1st
Frank Fausch,Frank,Fausch,1895-06-13,Kalamazoo,FB-T,,3-Jun,250,,,,
Dick Faust,Dick,Faust,,Otterbein,T-G-E,,1-Jun,208,,,,
George Faust,George,Faust,9/28/1917,Minnesota,BB,,1-Jun,205,,Chicago Cardinals,,6th
Paul Faust,Paul,Faust,7/23/1943,Minnesota,LB,,1-Jun,225,,,,
Hal Faverty,Hal,Faverty,9/26/1927,Wisconsin,LB-DE-C,,2-Jun,220,,Chicago Bears,,15th
Greg Favors,Greg,Favors,9/30/1974,Mississippi St.,LB-DE,,1-Jun,242,,Kansas City Chiefs,,4th
Brett Favre,Brett,Favre,10/10/1969,Southern Miss,QB,,2-Jun,225,,Atlanta Falcons,,2nd
Calvin Favron,Calvin,Favron,7/3/1957,SE Louisiana,LB,,1-Jun,225,,St. Louis Cardinals,,2nd
Jake Fawcett,Jake,Fawcett,5/29/1919,SMU,T-G,,11-May,223,,,,
Doc Fay,Doc,Fay,,Marquette,E,,,175,,,,
John Faylor,John,Faylor,2/10/1963,Santa Clara,DB,,1-Jun,197,,,,
Jarred Fayson,Jarred,Fayson,10/13/1987,,WR,,Jun-00,215,,,,
Jermaine Fazande,Jermaine,Fazande,1/14/1975,Oklahoma,RB,,2-Jun,255,,San Diego Chargers,,2nd
Ron Fazio,Ron,Fazio,6/5/1962,Maryland,TE,,4-Jun,242,,,,
Ricky Feacher,Ricky,Feacher,2/11/1954,Miss. Valley St.,WR,,10-May,174,,New England Patriots,,10th
Wiley Feagin,Wiley,Feagin,8/28/1937,Texas,G,,2-Jun,235,,,,
Jeff Feagles,Jeff,Feagles,3/7/1966,Miami (FL),P,,1-Jun,215,,,,
Tom Feamster,Tom,Feamster,10/23/1930,William & Mary,T-DE,,7-Jun,260,,Los Angeles Rams,,4th
Tom Fears,Tom,Fears,12/3/1923,Santa Clara,E,,2-Jun,216,,Cleveland Rams,,11th
Willie Fears,Willie,Fears,6/4/1964,NW State (LA),DE,,3-Jun,278,,,,
Grant Feasel,Grant,Feasel,6/28/1960,Abilene Christian,C,,7-Jun,278,,Baltimore Colts,,6th
Greg Feasel,Greg,Feasel,11/7/1958,Abilene Christian,T,,7-Jun,300,,,,
Bill Feaster,Bill,Feaster,,Fordham,T-C,,Jun-00,205,,,,
Tiny Feather,Tiny,Feather,2/23/1902,Kansas St.,B,,Jun-00,197,,,,
Beattie Feathers,Beattie,Feathers,8/4/1908,Tennessee,HB-WB,,10-May,185,,,,
Creig Federico,Creig,Federico,5/7/1963,Iowa Central,DB,,2-Jun,205,,,,
Daniel Federkeil,Daniel,Federkeil,11/9/1983,Calgary,T,,6-Jun,290,,,,
John Federovitch,John,Federovitch,6/26/1917,Davis & Elkins,T,,5-Jun,263,,Chicago Bears,,7th
Joe Federspiel,Joe,Federspiel,5/6/1950,Kentucky,LB,,1-Jun,230,,New Orleans Saints,,4th
Walt Fedora,Walt,Fedora,9/15/1918,George Washington,FB,,1-Jun,190,,Brooklyn Dodgers,,22nd
Gerry Feehery,Gerry,Feehery,3/9/1960,Syracuse,C-G,,2-Jun,268,,,,
A.J. Feeley,A.J.,Feeley,5/16/1977,Oregon,QB,,3-Jun,225,,Philadelphia Eagles,,5th
Jay Feely,Jay,Feely,5/23/1976,Michigan,K,,10-May,206,,,,
Al Feeney,Al,Feeney,1891-11-12,Notre Dame,C,,Jun-00,210,,,,
Howard Feggins,Howard,Feggins,5/6/1965,North Carolina,DB,,10-May,190,,,,
Nick Feher,Nick,Feher,7/13/1926,Georgia,G,,Jun-00,224,,San Francisco 49ers,,10th
Bernie Feibish,Bernie,Feibish,5/3/1919,NYU,C,,2-Jun,223,,,,
Andy Feichtinger,Andy,Feichtinger,1897-11-16,none,E,,10-May,170,,,,
Ray Feinga,Ray,Feinga,5/8/1986,BYU,G,,5-Jun,321,,,,
Lou Feist,Lou,Feist,,Columbia,E-T-FB,,1-Jun,200,,,,
Gene Fekete,Gene,Fekete,8/31/1922,Ohio St.,FB-LB,,Jun-00,195,,Detroit Lions,,6th
John Fekete,John,Fekete,10/28/1919,Ohio,HB-DB,,11-May,200,,Brooklyn Dodgers,,14th
Nip Felber,Nip,Felber,3/25/1909,North Dakota,E,,2-Jun,190,,,,
Bobby Felder,Bobby,Felder,9/23/1990,Nicholls St.,CB,,1-Jun,200,,,,
Bill Feldhaus,Bill,Feldhaus,12/8/1912,Cincinnati,G-T,,Jun-00,226,,,,
Paul Feldhausen,Paul,Feldhausen,6/14/1946,North (WI),T,,6-Jun,260,,Boston Patriots,,11th
Todd Feldman,Todd,Feldman,8/7/1962,Kent St.,WR,,10-May,184,,,,
Gene Felker,Gene,Felker,3/4/1929,Wisconsin,E,,1-Jun,198,,Dallas Texans,,19th
Happy Feller,Happy,Feller,6/13/1949,Texas,K,,11-May,185,,Philadelphia Eagles,,4th
Mark Fellows,Mark,Fellows,2/26/1963,Montana St.,LB,,1-Jun,233,,San Diego Chargers,,7th
Ron Fellows,Ron,Fellows,11/7/1958,Missouri,DB,,Jun-00,178,,Dallas Cowboys,,7th
Daniel Fells,Daniel,Fells,9/23/1983,California-Davis,TE,,4-Jun,252,,,,
Dick Felt,Dick,Felt,3/4/1933,BYU,DB,,1-Jun,185,,,,
Eric Felton,Eric,Felton,10/8/1955,Texas Tech,DB,,Jun-00,200,,New Orleans Saints,,5th
Jerome Felton,Jerome,Felton,7/3/1986,Furman,RB,,Jun-00,246,,Detroit Lions,,5th
Joe Felton,Joe,Felton,10/16/1964,Albion,G,,2-Jun,266,,,,
Ralph Felton,Ralph,Felton,5/21/1932,Maryland,LB-DB-FB,,11-May,210,,Washington Redskins,,4th
Bobby Felts,Bobby,Felts,6/26/1942,Florida A&M,HB,,2-Jun,202,,Baltimore Colts,,6th
Tom Fena,Tom,Fena,12/27/1909,Denver,G,,11-May,200,,,,
Gary Fencik,Gary,Fencik,6/11/1954,Yale,DB,,1-Jun,194,,Miami Dolphins,,10th
Dick Fencl,Dick,Fencl,2/24/1909,Northwestern,E,,11-May,160,,,,
James Fenderson,James,Fenderson,10/24/1976,Hawaii,RB,,9-May,200,,,,
Chuck Fenenbock,Chuck,Fenenbock,8/28/1917,UCLA,HB-TB,,9-May,174,,,,
Gill Fenerty,Gill,Fenerty,8/24/1963,Holy Cross,RB,,Jun-00,205,,New Orleans Saints,,7th
Bob Fenimore,Bob,Fenimore,10/6/1925,Oklahoma St.,HB,,1-Jun,190,,Chicago Bears,,1st
Carl Fennema,Carl,Fennema,10/17/1926,Washington,C-LB,,2-Jun,210,,,,
Chandler Fenner,Chandler,Fenner,7/6/1990,Holy Cross,CB,,1-Jun,189,,,,
Derrick Fenner,Derrick,Fenner,4/6/1967,Gardner-Webb,RB,,11-May,240,,Seattle Seahawks,,10th
Harold Fenner,Harold,Fenner,1895-11-10,none,E,,10-May,171,,,,
Lane Fenner,Lane,Fenner,12/7/1945,Florida St.,WR,,5-Jun,210,,San Diego Chargers,,7th
Rick Fenney,Rick,Fenney,12/7/1964,Washington,RB,,1-Jun,235,,Minnesota Vikings,,8th
Duke Fergerson,Duke,Fergerson,4/21/1954,Washington St.,WR,,1-Jun,189,,Dallas Cowboys,,3rd
Bill Ferguson,Bill,Ferguson,7/7/1951,Washington,LB,,3-Jun,225,,New York Jets,,4th
Bob Ferguson,Bob,Ferguson,8/29/1939,Ohio St.,FB,,11-May,220,,Pittsburgh Steelers,,1st
Charley Ferguson,Charley,Ferguson,11/13/1939,Tennessee St.,WR-TE,,5-Jun,217,,,,
D'Brickashaw Ferguson,D'Brickashaw,Ferguson,12/10/1983,Virginia,T,,5-Jun,295,,New York Jets,,1st
Gene Ferguson,Gene,Ferguson,6/5/1947,Norfolk St.,T-DT,,8-Jun,300,,San Diego Chargers,,3rd
Howie Ferguson,Howie,Ferguson,8/5/1930,none,FB-HB,,2-Jun,218,,,,
James Ferguson,James,Ferguson,10/15/1942,USC,C-LB,,4-Jun,240,,New Orleans Saints,,17th
Jason Ferguson,Jason,Ferguson,11/28/1974,Georgia,DT-NT,,3-Jun,305,,New York Jets,,7th
Joe Ferguson,Joe,Ferguson,4/23/1950,Arkansas,QB,,1-Jun,195,,Buffalo Bills,,3rd
Keith Ferguson,Keith,Ferguson,4/3/1959,Ohio St.,DE,,5-Jun,252,,San Diego Chargers,,5th
Kevin Ferguson,Kevin,Ferguson,12/4/1965,Virginia,TE,,2-Jun,223,,,,
Larry Ferguson,Larry,Ferguson,3/19/1940,Iowa,HB,,10-May,195,,Detroit Lions,,4th
Nick Ferguson,Nick,Ferguson,11/27/1974,Morris Brown,DB,,11-May,201,,,,
Robert Ferguson,Robert,Ferguson,12/17/1979,Texas A&M,WR,,1-Jun,209,,Green Bay Packers,,2nd
Tom Ferguson,Tom,Ferguson,1893-09-24,none,T,,,,,,,
Vagas Ferguson,Vagas,Ferguson,3/6/1957,Notre Dame,RB,,1-Jun,204,,New England Patriots,,1st
Fritz Ferko,Fritz,Ferko,7/6/1912,West Chester,T,,1-Jun,242,,,,
Ron Fernandes,Ron,Fernandes,9/11/1951,East. Michigan,DE-DT,,4-Jun,251,,Miami Dolphins,,10th
Manny Fernandez,Manny,Fernandez,7/3/1946,Utah,DT-DE,,2-Jun,250,,,,
Mervyn Fernandez,Mervyn,Fernandez,12/29/1959,San Jose St.,WR,,3-Jun,205,,Los Angeles Raiders,,10th
Vince Ferragamo,Vince,Ferragamo,4/24/1954,California,QB,,3-Jun,212,,Los Angeles Rams,,4th
Jack Ferrante,Jack,Ferrante,3/9/1916,none,E-DE,,1-Jun,197,,,,
Orlando Ferrante,Orlando,Ferrante,9/24/1932,USC,G,,Jun-00,230,,,,
Frank Ferrara,Frank,Ferrara,12/7/1975,Rhode Island,DE,,3-Jun,280,,,,
Ron Ferrari,Ron,Ferrari,7/30/1959,Lakeland,LB,,Jun-00,212,,San Francisco 49ers,,7th
Bill Ferrario,Bill,Ferrario,9/22/1978,Wisconsin,G,,2-Jun,315,,Green Bay Packers,,4th
Bob Ferrell,Bob,Ferrell,11/13/1952,UCLA,RB,,Jun-00,216,,,,
Earl Ferrell,Earl,Ferrell,3/27/1958,East Tennessee St.,RB,,Jun-00,225,,St. Louis Cardinals,,5th
Diamond Ferri,Diamond,Ferri,8/6/1981,Syracuse,DB,,10-May,223,,,,
Neil Ferris,Neil,Ferris,10/31/1927,Loyola Marymount,DB-HB,,11-May,181,,,,
Lou Ferry,Lou,Ferry,12/1/1927,Villanova,DT-T,,2-Jun,244,,Green Bay Packers,,3rd
Paul Fersen,Paul,Fersen,2/16/1950,Georgia,T,,5-Jun,260,,New Orleans Saints,,14th
Howard Fest,Howard,Fest,4/11/1946,Texas,G-T,,6-Jun,262,,Cincinnati Bengals,,6th
Jim Fetherston,Jim,Fetherston,6/1/1945,California,LB,,2-Jun,225,,,,
Gus Fetz,Gus,Fetz,,none,HB,,,158,,,,
John Fiala,John,Fiala,11/25/1973,Washington,LB,,2-Jun,237,,Miami Dolphins,,6th
Tony Fiammetta,Tony,Fiammetta,8/22/1986,Syracuse,RB,,Jun-00,246,,Carolina Panthers,,4th
Dan Ficca,Dan,Ficca,2/7/1939,USC,G,,1-Jun,245,,Philadelphia Eagles,,4th
Leon Fichman,Leon,Fichman,2/23/1921,Alabama,T,,1-Jun,215,,,,
Brad Fichtel,Brad,Fichtel,3/10/1970,East. Illinois,C,,2-Jun,285,,Los Angeles Rams,,7th
Ross Fichtner,Ross,Fichtner,10/26/1938,Purdue,DB,,Jun-00,185,,Cleveland Browns,,3rd
Bill Fiedler,Bill,Fiedler,11/9/1914,Pennsylvania,G,,9-May,200,,,,
Jay Fiedler,Jay,Fiedler,12/29/1971,Dartmouth,QB,,2-Jun,225,,,,
Amod Field,Amod,Field,10/11/1967,Montclair St.,WR,,11-May,186,,,,
Doak Field,Doak,Field,10/8/1958,Baylor,LB,,2-Jun,228,,Philadelphia Eagles,,7th
Harry Field,Harry,Field,8/18/1911,Hawaii,T,,1-Jun,226,,,,
Don Fielder,Don,Fielder,10/20/1959,Kentucky,DE,,3-Jun,260,,,,
Anthony Fieldings,Anthony,Fieldings,7/7/1971,Morningside,LB,,1-Jun,237,,,,
Aaron Fields,Aaron,Fields,1/9/1976,Savannah St.,DE,,4-Jun,243,,,,
Angelo Fields,Angelo,Fields,9/15/1957,Michigan St.,T,,6-Jun,321,,Houston Oilers,,2nd
Anthony Fields,Anthony,Fields,1/17/1964,East. Michigan,DB,,1-Jun,192,,,,
Brandon Fields,Brandon,Fields,5/21/1984,Michigan St.,P,,5-Jun,230,,Miami Dolphins,,7th
Edgar Fields,Edgar,Fields,3/10/1954,Texas A&M,DT-DE,,2-Jun,255,,Atlanta Falcons,,3rd
Floyd Fields,Floyd,Fields,1/7/1969,Arizona St.,DB,,Jun-00,208,,San Diego Chargers,,5th
George Fields,George,Fields,,Bakersfield JC,DT-DE,,3-Jun,245,,,,
Greg Fields,Greg,Fields,1/23/1955,Grambling St.,DE,,7-Jun,260,,,,
Jaime Fields,Jaime,Fields,8/28/1970,Washington,LB,,11-May,230,,Kansas City Chiefs,,4th
Jeff Fields,Jeff,Fields,7/3/1967,Arkansas St.,DT,,3-Jun,320,,Los Angeles Rams,,9th
Jerry Fields,Jerry,Fields,5/24/1938,Ohio St.,LB,,1-Jun,222,,New York Giants,,13th
Jitter Fields,Jitter,Fields,8/16/1962,Texas,DB,,8-May,185,,New Orleans Saints,,5th
Joe Fields,Joe,Fields,11/14/1953,Rutgers-Camden,C-G,,2-Jun,250,,New York Jets,,14th
Mark Fields,Mark,Fields,11/9/1972,Washington St.,LB,,2-Jun,244,,New Orleans Saints,,1st
Ronald Fields,Ronald,Fields,9/13/1981,Mississippi St.,DT,,2-Jun,310,,San Francisco 49ers,,5th
Scott Fields,Scott,Fields,4/22/1973,USC,LB,,2-Jun,220,,,,
Ralph Fife,Ralph,Fife,1/26/1920,Pittsburgh,G,,11-May,207,,,,
Bill Fifer,Bill,Fifer,10/26/1955,West Texas A&M,T,,4-Jun,250,,Detroit Lions,,4th
Steve Fifita,Steve,Fifita,5/17/1986,Utah,DT,,Jun-00,312,,,,
Cedric Figaro,Cedric,Figaro,8/17/1966,Notre Dame,LB,,2-Jun,255,,San Diego Chargers,,6th
George Figner,George,Figner,4/30/1931,Colorado,DB,,Jun-00,185,,,,
Deon Figures,Deon,Figures,1/20/1970,Colorado,DB,,Jun-00,200,,Pittsburgh Steelers,,1st
Yamon Figurs,Yamon,Figurs,1/10/1983,Kansas St.,WR,,Jun-00,174,,Baltimore Ravens,,3rd
Dan Fike,Dan,Fike,6/16/1961,Florida,G-T,,7-Jun,280,,New York Jets,,10th
John Filak,John,Filak,10/13/1903,Penn St.,T-G,,Jun-00,190,,,,
Frank Filchock,Frank,Filchock,10/18/1916,Indiana,TB-QB-HB,,10-May,193,,Pittsburgh Pirates,,2nd
Jim Files,Jim,Files,1/16/1948,Oklahoma,LB,,4-Jun,240,,New York Giants,,1st
Filip Filipovic,Filip,Filipovic,11/5/1977,Urbana,P,,2-Jun,216,,,,
Steve Filipowicz,Steve,Filipowicz,6/28/1921,Fordham,FB-BB,,8-May,200,,New York Giants,,1st
Gene Filipski,Gene,Filipski,6/14/1931,Army,HB,,11-May,185,,Cleveland Browns,,7th
